Date,Attendance
11/10/2021,88.98050664977836
11/09/2021,89.19674477517417
11/01/2021,84.9018881118881
10/29/2021,86.68833017077799
10/28/2021,88.278025477707
10/27/2021,88.84889733840303
10/26/2021,70.56201910828025
10/25/2021,86.56297280202403
10/22/2021,86.32423149905122
10/21/2021,88.021384057971
10/20/2021,87.96049649904519
10/19/2021,87.35679113924051
10/15/2021,85.81763590391908
10/14/2021,87.16645079365078
10/13/2021,86.52483788938335
10/12/2021,86.04595907928389
10/08/2021,84.36942784488238
10/07/2021,85.87277001270647
10/06/2021,85.93353689567431
10/05/2021,84.86498418722329
10/04/2021,83.09833861762841
10/01/2021,82.97975253807107
9/30/2021,84.65706480304955
9/29/2021,84.95583598219963
9/28/2021,84.22515862944162
9/27/2021,83.16450095359185
9/24/2021,82.36648030495553
9/23/2021,84.02572066326532
9/22/2021,84.1721264367816
9/21/2021,83.79072843450479
9/20/2021,83.27421492921493
9/17/2021,81.30931101094656
