Date,Classroom Closures,"Classroom Closures, Cumulative (since 9/13/2021)","Classroom Closures, Currently in effect",Partial Classroom Quarantine,"Partial Classroom Quarantine, Cumulative (since 9/13/2021)","Partial Classroom Quarantine, Currently in effect",Non-Classroom Quarantine,"Non-Classroom Quarantine, Cumulative (since 9/13/2021)","Non-Classroom Quarantine, Currently in effect",School Assessments,"School Assessments, Cumulative (since 9/13/2021)","School Assessments, Currently in effect",School Closures,"School Closures, Cumulative (since 9/13/2021)","School Closures, Currently in effect",School Assessment,"School Assessment, Cumulative (since 9/13/2021)","School Assessment, Currently in effect",School Investigations,"School Investigations, Cumulative (since 9/13/2021)","School Investigations, Currently in effect",Partial Classroom Closure,"Partial Classroom Closure, Cumulative (since 9/13/2021)","Partial Classroom Closure, Currently in effect","Classroom Closures, Cumulative (since 9/14/2020)","School Investigations, Cumulative (since 9/14/2020)","School Closures, Cumulative (since 9/14/2020)"
9/24/2022,91,880,635,,,,11,109,80,,,,0,1,1,,,,0,1,0,62,725,527,,,
9/23/2022,79,789,656,,,,9,98,79,,,,0,1,1,,,,0,1,0,89,663,541,,,
9/22/2022,77,720,687,,,,7,89,75,,,,0,1,1,,,,0,1,0,66,574,521,,,
9/21/2022,82,643,612,,,,11,82,68,,,,0,1,1,,,,0,1,0,68,508,455,,,
9/20/2022,120,562,533,,,,15,71,57,,,,0,1,1,,,,0,1,0,117,441,392,,,
9/19/2022,77,445,441,,,,11,57,57,,,,0,1,1,,,,0,1,0,60,326,338,,,
9/17/2022,118,367,372,,,,13,46,56,,,,1,1,1,,,,0,1,0,94,266,303,,,
9/16/2022,80,249,258,,,,11,33,44,,,,0,0,0,,,,0,1,1,46,172,211,,,
9/15/2022,111,169,178,,,,9,22,33,,,,0,0,0,,,,1,1,1,39,125,165,,,
9/14/2022,45,58,67,,,,12,13,24,,,,0,0,0,,,,0,0,0,51,86,126,,,
9/13/2022,80,80,169,,,,,,,,,,0,0,0,,,,1,1,0,,,,,,
9/12/2022,42,,117,,,,,,,,,,0,,0,,,,0,,1,,,,"19,396",142,2
9/10/2022,41,,126,,,,,,,,,,0,,0,,,,1,,1,,,,"19,354",142,2
9/09/2022,15,,115,,,,,,,,,,0,,0,,,,1,,2,,,,"19,313",141,2
9/08/2022,16,,120,,,,,,,,,,0,,0,,,,0,,1,,,,"19,298",140,2
9/07/2022,23,,104,,,,,,,,,,0,,0,,,,1,,2,,,,"19,282",140,2
9/05/2022,8,,101,,,,,,,,,,0,,0,,,,1,,4,,,,"19,260",139,2
9/03/2022,33,,115,,,,,,,,,,0,,0,,,,3,,3,,,,"19,252",138,2
9/02/2022,20,,94,,,,,,,,,,0,,0,,,,0,,0,,,,"19,219",135,2
9/01/2022,13,,87,,,,,,,,,,0,,0,,,,0,,0,,,,"19,200",135,2
8/31/2022,18,,74,,,,,,,,,,0,,0,,,,0,,0,,,,"19,187",135,2
8/30/2022,21,,56,,,,,,,,,,0,,0,,,,1,,1,,,,"19,169",135,2
8/29/2022,6,,72,,,,,,,,,,0,,0,,,,0,,0,,,,"19,148",134,2
8/27/2022,9,,128,,,,,,,,,,0,,0,,,,0,,0,,,,"19,142",134,2
8/26/2022,10,,164,,,,,,,,,,0,,0,,,,0,,0,,,,"19,133",134,2
8/25/2022,15,,154,,,,,,,,,,0,,0,,,,0,,0,,,,"19,123",134,2
8/24/2022,8,,140,,,,,,,,,,0,,0,,,,0,,2,,,,"19,109",134,2
8/23/2022,24,,132,,,,,,,,,,0,,0,,,,1,,2,,,,"19,101",134,2
8/22/2022,14,,155,,,,,,,,,,0,,0,,,,1,,2,,,,"19,077",133,2
8/20/2022,33,,228,,,,,,,,,,0,,0,,,,1,,2,,,,"19,064",132,2
8/19/2022,35,,250,,,,,,,,,,0,,0,,,,0,,2,,,,"19,031",131,2
8/18/2022,24,,266,,,,,,,,,,0,,0,,,,0,,2,,,,"18,996",131,2
