SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
02M347,THE 47 AMERICAN SIGN LANGUAGE   ENGLISH LOWER SCHO,9/17/2021,89.10
02M374,GRAMERCY ARTS HIGH SCHOOL,9/17/2021,77.12
02M376,NYC ISCHOOL,9/17/2021,94.87
02M391,DISTRICT 2 PRE K CENTER,9/17/2021,91.02
02M392,MANHATTAN BUSINESS ACADEMY,9/17/2021,78.65
02M393,BUSINESS OF SPORTS SCHOOL,9/17/2021,74.26
02M394,EMMA LAZARUS HIGH SCHOOL,9/17/2021,82.24
02M397,SPRUCE STREET SCHOOL,9/17/2021,82.99
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,9/17/2021,66.38
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,9/17/2021,82.55
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,9/17/2021,90.83
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,9/17/2021,91.15
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,9/17/2021,92.99
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,9/17/2021,100.00
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,9/17/2021,91.11
02M414,N.Y.C. MUSEUM SCHOOL,9/17/2021,90.85
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,9/17/2021,93.40
02M418,MILLENNIUM HIGH SCHOOL,9/17/2021,92.30
02M419,LANDMARK HIGH SCHOOL,9/17/2021,71.21
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,9/17/2021,85.96
02M422,QUEST TO LEARN,9/17/2021,79.35
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,9/17/2021,78.08
02M427,MANHATTAN ACADEMY FOR ARTS   LANGUAGE,9/17/2021,74.03
02M432,MURRAY HILL ACADEMY,9/17/2021,72.32
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,9/17/2021,76.89
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,9/17/2021,73.14
02M439,MANHATTAN VILLAGE ACADEMY,9/17/2021,93.57
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",9/17/2021,96.99
02M449,VANGUARD HIGH SCHOOL,9/17/2021,NS
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,9/17/2021,74.71
02M475,STUYVESANT HIGH SCHOOL,9/17/2021,95.43
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,9/17/2021,83.59
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,9/17/2021,NS
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,9/17/2021,NS
02M519,TALENT UNLIMITED HIGH SCHOOL,9/17/2021,NS
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,9/17/2021,62.57
02M527,P.S. 527   EAST SIDE SCHOOL FOR SOCIAL ACTION,9/17/2021,95.23
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,9/17/2021,73.30
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,9/17/2021,91.98
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,9/17/2021,80.00
02M534,HARVEST COLLEGIATE HIGH SCHOOL,9/17/2021,76.81
02M542,MANHATTAN BRIDGES HIGH SCHOOL,9/17/2021,81.27
02M543,NEW DESIGN HIGH SCHOOL,9/17/2021,61.04
02M544,INDEPENDENCE HIGH SCHOOL,9/17/2021,22.79
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,9/17/2021,97.07
02M546,ACADEMY FOR SOFTWARE ENGINEERING,9/17/2021,78.13
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,9/17/2021,70.03
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,9/17/2021,88.13
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,9/17/2021,NS
02M570,SATELLITE ACADEMY HIGH SCHOOL,9/17/2021,36.47
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,9/17/2021,NS
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,9/17/2021,73.95
02M586,HARVEY MILK HIGH SCHOOL,9/17/2021,56.60
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,9/17/2021,81.20
02M605,HUMANITIES PREPARATORY ACADEMY,9/17/2021,87.95
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,9/17/2021,78.61
02M630,ART AND DESIGN HIGH SCHOOL,9/17/2021,89.58
02M655,THE HIGH SCHOOL FOR CLIMATE JUSTICE,9/17/2021,69.03
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,9/17/2021,83.94
02M933,CITY KNOLL MIDDLE SCHOOL,9/17/2021,80.00
03M009,P.S. 009 SARAH ANDERSON,9/17/2021,82.29
03M054,J.H.S. 054 BOOKER T. WASHINGTON,9/17/2021,83.23
03M075,P.S. 075 EMILY DICKINSON,9/17/2021,82.54
03M076,P.S. 076 A. PHILIP RANDOLPH,9/17/2021,79.39
03M084,P.S. 084 LILLIAN WEBER,9/17/2021,91.02
03M087,P.S. 087 WILLIAM SHERMAN,9/17/2021,NS
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",9/17/2021,74.50
03M149,P.S. 149 SOJOURNER TRUTH,9/17/2021,87.13
03M163,P.S. 163 ALFRED E. SMITH,9/17/2021,83.99
03M165,P.S. 165 ROBERT E. SIMON,9/17/2021,83.15
